stateabb,year,cinc
AAB,1994,2.74E-06
AAB,1995,2.75E-06
AAB,1996,2.94E-06
AAB,1997,2.71E-06
AAB,1998,2.90E-06
AAB,1999,2.88E-06
AAB,2000,2.88E-06
AAB,2001,3.12E-06
AAB,2002,3.15E-06
AAB,2003,3.06E-06
AAB,2004,2.99E-06
AAB,2005,3.18E-06
AAB,2006,3.12E-06
AAB,2007,3.07E-06
AAB,2008,3.24E-06
AAB,2009,3.37E-06
AAB,2010,3.21E-06
AAB,2011,5.48E-06
AAB,2012,5.39E-06
AAB,2013,5.39E-06
AAB,2014,5.43E-06
AAB,2015,5.58E-06
AAB,2016,5.46E-06
SKN,1983,2.10E-06
SKN,1984,2.05E-06
SKN,1985,1.96E-06
SKN,1986,1.96E-06
SKN,1987,1.82E-06
SKN,1988,2.19E-06
SKN,1989,2.08E-06
SKN,1990,2.07E-06
SKN,1991,1.95E-06
SKN,1992,2.00E-06
SKN,1993,2.08E-06
SKN,1994,2.11E-06
SKN,1995,2.05E-06
SKN,1996,1.89E-06
SKN,1997,1.97E-06
SKN,1998,1.83E-06
SKN,1999,1.76E-06
SKN,2000,1.72E-06
SKN,2001,2.00E-06
SKN,2002,1.67E-06
SKN,2003,1.68E-06
SKN,2004,1.63E-06
SKN,2005,1.65E-06
SKN,2006,1.49E-06
SKN,2007,1.49E-06
SKN,2008,1.48E-06
SKN,2009,1.51E-06
SKN,2010,1.48E-06
SKN,2011,1.48E-06
SKN,2012,1.49E-06
SKN,2013,1.44E-06
SKN,2014,1.73E-06
SKN,2015,1.44E-06
SKN,2016,1.44E-06
MEX,1831,0.0094523551
MEX,1832,0.0096307229
MEX,1833,0.009579475
MEX,1834,0.0097105037
MEX,1835,0.0098031396
MEX,1836,0.0094143115
MEX,1837,0.0097467899
MEX,1838,0.0096587781
MEX,1839,0.0094782729
MEX,1840,0.0089768423
MEX,1841,0.0088399816
MEX,1842,0.0087672444
MEX,1843,0.0086916434
MEX,1844,0.011401067
MEX,1845,0.0088118156
MEX,1846,0.017939458
MEX,1847,0.0086195553
MEX,1848,0.0086817136
MEX,1849,0.0085954256
MEX,1850,0.0085846074
MEX,1851,0.0087979855
MEX,1852,0.008632889
MEX,1853,0.0085896514
MEX,1854,0.0084410813
MEX,1855,0.0078971004
MEX,1856,0.0077332254
MEX,1857,0.0080972137
MEX,1858,0.0082070688
MEX,1859,0.0081490958
MEX,1860,0.0051923366
MEX,1861,0.0051037692
MEX,1862,0.0052148192
MEX,1863,0.0044614282
MEX,1864,0.0046122498
MEX,1865,0.0065961028
MEX,1866,0.0077329068
MEX,1867,0.0055964789
MEX,1868,0.0062996889
MEX,1869,0.006195317
MEX,1870,0.0053070425
MEX,1871,0.0055929343
MEX,1872,0.006536568
MEX,1873,0.0063916198
MEX,1874,0.0065796459
MEX,1875,0.0066227037
MEX,1876,0.0061491313
MEX,1877,0.0059929979
MEX,1878,0.005239022
MEX,1879,0.0059532705
MEX,1880,0.0058869678
MEX,1881,0.0059916396
MEX,1882,0.00567589
MEX,1883,0.0057601416
MEX,1884,0.0055711893
MEX,1885,0.0055404091
MEX,1886,0.0062536797
MEX,1887,0.0060317027
MEX,1888,0.0064270049
MEX,1889,0.006671743
MEX,1890,0.0063882135
MEX,1891,0.0065287072
MEX,1892,0.0069378698
MEX,1893,0.0064615593
MEX,1894,0.0061699999
MEX,1895,0.0059407381
MEX,1896,0.0050736661
MEX,1897,0.0049480512
MEX,1898,0.0047825542
MEX,1899,0.0047436738
MEX,1900,0.0047950298
MEX,1901,0.0048922617
MEX,1902,0.0048195021
MEX,1903,0.0048289341
MEX,1904,0.0048417915
MEX,1905,0.004523742
MEX,1906,0.0047620181
MEX,1907,0.0049432828
MEX,1908,0.0051263561
MEX,1909,0.0051028905
MEX,1910,0.0051159719
MEX,1911,0.0053422973
MEX,1912,0.0060746078
MEX,1913,0.0053459615
MEX,1914,0.0045623509
MEX,1915,0.0045530661
MEX,1916,0.0054274891
MEX,1917,0.0042862119
MEX,1918,0.0038654439
MEX,1919,0.0059930342
MEX,1920,0.0069052605
MEX,1921,0.007108354
MEX,1922,0.0069531477
MEX,1923,0.0070270849
MEX,1924,0.0072455783
MEX,1925,0.0072574588
MEX,1926,0.0074400287
MEX,1927,0.0072401562
MEX,1928,0.0073753521
MEX,1929,0.0072942385
MEX,1930,0.0067745592
MEX,1931,0.0064985752
MEX,1932,0.006199236
MEX,1933,0.005993396
MEX,1934,0.0059330701
MEX,1935,0.0055269077
MEX,1936,0.0053757392
MEX,1937,0.005476302
MEX,1938,0.0056588231
MEX,1939,0.0052810302
MEX,1940,0.0055668233
MEX,1941,0.0058116997
MEX,1942,0.005286972
MEX,1943,0.0055367667
MEX,1944,0.0062339203
MEX,1945,0.0064861756
MEX,1946,0.007120451
MEX,1947,0.0065251146
MEX,1948,0.0066099172
MEX,1949,0.006461075
MEX,1950,0.0066975127
MEX,1951,0.0067984778
MEX,1952,0.0065768464
MEX,1953,0.0065431823
MEX,1954,0.0065470994
MEX,1955,0.0062768161
MEX,1956,0.0063226181
MEX,1957,0.0065242806
MEX,1958,0.0069274614
MEX,1959,0.0071271677
MEX,1960,0.0071328003
MEX,1961,0.007490254
MEX,1962,0.0076250639
MEX,1963,0.0076685366
MEX,1964,0.0079688374
MEX,1965,0.0081468495
MEX,1966,0.0083786491
MEX,1967,0.0087065259
MEX,1968,0.0086014206
MEX,1969,0.0082424078
MEX,1970,0.010004516
MEX,1971,0.0099521074
MEX,1972,0.0099671902
MEX,1973,0.0098998304
MEX,1974,0.010007672
MEX,1975,0.010188706
MEX,1976,0.010419272
MEX,1977,0.010800863
MEX,1978,0.011491411
MEX,1979,0.011815346
MEX,1980,0.012225123
MEX,1981,0.012473963
MEX,1982,0.012619035
MEX,1983,0.012199434
MEX,1984,0.012106846
MEX,1985,0.012232454
MEX,1986,0.01196913
MEX,1987,0.011981407
MEX,1988,0.011845606
MEX,1989,0.012262589
MEX,1990,0.012042532
MEX,1991,0.012396405
MEX,1992,0.01279306
MEX,1993,0.012726694
MEX,1994,0.013238957
MEX,1995,0.013357245
MEX,1996,0.013659887
